fawn|হরিণ-শিশু
writings|লেখা
indranil|ইন্দ্রনীল
mount.palomar|মাউন্ট পালোমার
foul|জঘন্য
four|চার
prefix|উপপদ,উপসর্গ
woods|জঙ্গল,বন
aegis|তত্ত্বাবধান,আরবণ
verses|পদ
hanging|ঝুলন্ত,ঝুলন্ত
cyprus|সাইপ্রাস
towns|শহর
aggression|চড়াও হয়ে আক্রমণ
looking|দেখ
eligible|উপযুক্ত
electricity|তড়িৎ
bangabhaban|বঙ্গভবন,বংগভবন
quadruple|চতুর্বিধ
albumen|ডিম্বের শ্বেতাংশ
jagannath|জগন্নাথ
digit|অংক
perennial|চিরজীবী
parliament.of.india|ভারতীয় সংসদ
yellow|হলদে,হলুদ রঙ
taj|তাজ
correct.drive|সঠিক ড্রাইভ
disturb|বিরক্ত করা
songster|গায়ক
internally|অভ্যন্তরীণভাবে
hostess|অতিথিসেবক
wooden|কাঠের তৈরি
enough.space|যথেষ্ট স্থান
wednesday|বুধবার,বুধবার
nigerians|নাইজেরিয়ান
ultra-violet|অতিবেগুনি
south-west|নৈঋত
straight|সরলরৈখিক
bytecode|বাইটকোড
non-violent|অহিংস
upper.culmination|উচ্চগমন
charter|ফরমান
bill|বিল
specially|বিশেষভাবে
mirage|মরীচিকা
precocity|অকালপক্কতা
pulse|ডাল,ডাল
empirical|প্রায়োগিক
lintels|চৌকাঠ
elegant|রুচিশীল
rusty|মরচে ধরা
south-central.asia|দক্ষিণ-মধ্য এশিয়া
washerman|ধোপা,রজক
biyanibazar|বিয়ানী বাজার
malnourishment|অপুষ্টি
captain|অধিনায়ক
unlisted|তালিকভুক্ত নয়
bittorrent|বিট-টোরেন্ট
dacca|ঢাকা
contributed|দানকৃত
jocular|রসিক,পরিহাসপ্রিয়তা
melanin|মেলানিন
gujarati|গুজরাতী,গুজরাটী
decry|নিন্দা করা
audio-cd|অডিও সিডি
fossil|জীবাশ্ম,জীবাশ্ম
admiral|নৌ-সেনাপতি,নৌ বহরের অধ্যক্ষ
specialist|বিশেষজ্ঞ
insinuation|ধীরে ধীরে সুকৌশলে অভ্যন্তরপ্রবেশ, বক্রোক্তি
hero|নায়ক
wilt|ধূর্ত,শঠ
reporter|প্রতিবেদক
formats|বিন্যাস
sunspot|সৌরকলঙ্ক
here|এখানে,এখান
atoms|পরমাণু
reported|প্রতিবেদনকৃত
china|চীন
affiliated|অধিভুক্ত
quark|কোয়ার্ক
substantial|প্রামান্য
calculate|গণনা,গণনা করা
natured|স্বভাবসম্পন্ন
substance|সারবত্তা
sheikh.mujibur.rahman|শেখ মুজিবুর রহমান
unwillingness|অনিচ্ছা
reports|প্রতিবেদন
controversy|বিতর্ক
los.angeles|লস অ্যাঞ্জেলেস
karim|করিম
military|সামরিক
cancellation|বাতিল,বাতিলকরণ
criticism|সমালোচনা
appropriately|সঠিকভাবে
divide|বিভাজন,ভাগ করা
classification|শ্রেণীবিভাগ
secluded|নিরালা
criticise|সমালোচনা করা
sweetest|মধুরতম
replace|বদল,প্রতিস্থাপন করা
psychological|মনস্তাত্তিক
remnant|অবশিষ্ট
stern|কঠোর
absolute.magnitude|পরম মান
neutrino|নিউট্রিনো
cocaine|কোকেন
unit|একক
dna|ডিএনএ
monocarpic|একফসলি
browse|ব্রাউজ,ব্রাউজ করা
abbreviations|শব্দসংক্ষেপ
hungry|ক্ষুধার্ত
different.views|বিভিন্ন দৃষ্টিভঙ্গি
dvd-video|ডিভিডি-ভিডিও
british.soldier|ব্রিটিশ সৈন্য
music|সঙ্গীত,গান
telegraph|টেলিগ্রাফ
dns|ডি.এন.এস.
göttingen|গটিংগেন
guinness.book|গিনেস বুক
capital|রাজধানী,রাজধানী,পুঁজি
